Vernier Format 2
untitled.txt 1/1/2021 22:0:11
Run 3
Time	Light Level	Temperature	
T	L	T	
s		°C	

0.00	0.9967	1.9	
0.05	0.9975	1.8	
0.10	0.9970	1.9	
0.15	0.9972	1.9	
0.20	0.9967	1.9	
0.25	0.9967	1.8	
0.30	0.9962	1.9	
0.35	0.9960	1.9	
0.40	0.9962	1.9	
0.45	0.9960	1.9	
0.50	0.9962	1.9	
0.55	0.9960	1.9	
0.60	0.9957	1.9	
0.65	0.9962	1.9	
0.70	0.9960	1.9	
0.75	0.9962	1.9	
0.80	0.9960	1.9	
0.85	0.9955	1.9	
0.90	0.9957	1.9	
0.95	0.9952	1.9	
1.00	0.9955	1.9	
1.05	0.9952	1.9	
1.10	0.9952	1.9	
1.15	0.9952	1.9	
1.20	0.9950	1.9	
1.25	0.9955	1.9	
1.30	0.9952	1.9	
1.35	0.9955	1.9	
1.40	0.9955	1.9	
1.45	0.9952	1.9	
1.50	0.9957	1.9	
1.55	0.9955	1.9	
1.60	0.9960	1.9	
1.65	0.9960	1.9	
1.70	0.9960	1.9	
1.75	0.9960	1.9	
1.80	0.9957	1.9	
1.85	0.9960	1.9	
1.90	0.9960	1.9	
1.95	0.9965	1.9	
2.00	0.9962	1.9	
2.05	0.9960	1.9	
2.10	0.9965	1.9	
2.15	0.9962	1.9	
2.20	0.9967	1.9	
2.25	0.9965	1.9	
2.30	0.9962	1.9	
2.35	0.9970	1.9	
2.40	0.9967	1.9	
2.45	0.9970	1.9	
2.50	0.9970	1.9	
2.55	0.9967	1.9	
2.60	0.9970	1.9	
2.65	0.9965	1.9	
2.70	0.9970	1.9	
2.75	0.9967	1.9	
2.80	0.9962	1.9	
2.85	0.9967	1.9	
2.90	0.9965	2.0	
2.95	0.9967	1.9	
3.00	0.9967	1.9	
3.05	0.9967	1.9	
3.10	0.9970	2.0	
3.15	0.9967	2.0	
3.20	0.9967	2.0	
3.25	0.9970	2.0	
3.30	0.9967	2.0	
3.35	0.9970	2.0	
3.40	0.9972	2.0	
3.45	0.9967	2.0	
3.50	0.9972	2.0	
3.55	0.9970	2.0	
3.60	0.9972	2.0	
3.65	0.9972	2.0	
3.70	0.9970	2.0	
3.75	0.9977	2.0	
3.80	0.9975	2.0	
3.85	0.9975	2.0	
3.90	0.9980	2.0	
3.95	0.9975	2.0	
4.00	0.9982	2.0	
4.05	0.9980	2.0	
4.10	0.9975	2.0	
4.15	0.9982	2.0	
4.20	0.9980	2.0	
4.25	0.9982	2.0	
4.30	0.9982	2.0	
4.35	0.9980	2.0	
4.40	0.9985	2.0	
4.45	0.9987	2.0	
4.50	0.9982	2.0	
4.55	0.9990	2.0	
4.60	0.9987	2.0	
4.65	0.9992	2.0	
4.70	0.9992	2.0	
4.75	0.9987	2.0	
4.80	0.9995	2.0	
4.85	0.9992	2.0	
4.90	0.9992	2.0	
4.95	0.9990	2.0	
5.00	0.9985	2.0	
5.05	0.9987	2.0	
5.10	0.9982	2.0	
5.15	0.9980	2.0	
5.20	0.9982	2.0	
5.25	0.9977	2.0	
5.30	0.9982	2.0	
5.35	0.9980	2.0	
5.40	0.9975	2.0	
5.45	0.9980	2.1	
5.50	0.9977	2.0	
5.55	0.9980	2.0	
5.60	0.9980	2.0	
5.65	0.9977	2.0	
5.70	0.9982	2.1	
5.75	0.9980	2.1	
5.80	0.9980	2.0	
5.85	0.9980	2.1	
5.90	0.9977	2.1	
5.95	0.9982	2.1	
6.00	0.9977	2.1	
6.05	0.9975	2.1	
6.10	0.9982	2.1	
6.15	0.9977	2.1	
6.20	0.9982	2.1	
6.25	0.9980	2.1	
6.30	0.9975	2.1	
6.35	0.9982	2.1	
6.40	0.9980	2.1	
6.45	0.9982	2.1	
6.50	0.9982	2.1	
6.55	0.9982	2.1	
6.60	0.9987	2.1	
6.65	0.9987	2.1	
6.70	0.9992	2.1	
6.75	0.9992	2.1	
6.80	0.9990	2.1	
6.85	0.9995	2.1	
6.90	0.9990	2.1	
6.95	0.9992	2.1	
7.00	0.9990	2.1	
7.05	0.9985	2.1	
7.10	0.9990	2.1	
7.15	0.9985	2.1	
7.20	0.9987	2.1	
7.25	0.9987	2.1	
7.30	0.9982	2.1	
7.35	0.9987	2.1	
7.40	0.9990	2.1	
7.45	0.9992	2.1	
7.50	0.9990	2.1	
7.55	0.9987	2.2	
7.60	0.9992	2.1	
7.65	0.9990	2.2	
7.70	0.9990	2.2	
7.75	0.9990	2.2	
7.80	0.9987	2.1	
7.85	0.9992	2.2	
7.90	0.9990	2.2	
7.95	0.9992	2.2	
8.00	0.9992	2.2	
8.05	0.9990	2.2	
8.10	0.9992	2.2	
8.15	0.9990	2.2	
8.20	0.9992	2.2	
8.25	0.9990	2.2	
8.30	0.9987	2.2	
8.35	0.9990	2.2	
8.40	0.9987	2.2	
8.45	0.9990	2.2	
8.50	0.9987	2.2	
8.55	0.9982	2.2	
8.60	0.9990	2.2	
8.65	0.9990	2.2	
8.70	0.9992	2.2	
8.75	0.9992	2.2	
8.80	0.9990	2.2	
8.85	0.9995	2.2	
8.90	1.0000	2.2	
8.95	1.0000	2.2	
9.00	0.9995	2.2	
9.05	0.9980	2.2	
9.10	0.9960	2.2	
9.15	0.9905	2.2	
9.20	0.9787	2.2	
9.25	0.7990	2.2	
9.30	0.5919	2.2	
9.35	0.5100	2.2	
9.40	0.4970	2.2	
9.45	0.5033	2.2	
9.50	0.5105	2.2	
9.55	0.5252	2.2	
9.60	0.5407	2.3	
9.65	0.5564	2.3	
9.70	0.5584	2.2	
9.75	0.5564	2.2	
9.80	0.5599	2.3	
9.85	0.5637	2.3	
9.90	0.5714	2.3	
9.95	0.5804	2.2	
10.00	0.6021	2.3	
10.05	0.6251	2.3	
10.10	0.6535	2.3	
10.15	0.6907	2.3	
10.20	0.7314	2.3	
10.25	0.7791	2.3	
10.30	0.8218	2.3	
10.35	0.8844	2.3	
10.40	0.9356	2.3	
10.45	0.9680	2.3	
10.50	0.9763	2.3	
10.55	0.9813	2.3	
10.60	0.9847	2.3	
10.65	0.9867	2.3	
10.70	0.9885	2.3	
10.75	0.9890	2.3	
10.80	0.9900	2.3	
10.85	0.9902	2.3	
10.90	0.9912	2.3	
10.95	0.9922	2.3	
11.00	0.9927	2.3	
11.05	0.9932	2.3	
11.10	0.9932	2.3	
11.15	0.9940	2.3	
11.20	0.9945	2.3	
11.25	0.9955	2.3	
11.30	0.9960	2.3	
11.35	0.9960	2.3	
11.40	0.9965	2.3	
11.45	0.9962	2.3	
11.50	0.9970	2.3	
11.55	0.9970	2.3	
11.60	0.9977	2.3	
11.65	0.9975	2.3	
11.70	0.9982	2.3	
11.75	0.9985	2.3	
11.80	0.9985	2.3	
11.85	0.9990	2.3	
11.90	0.9985	2.3	
11.95	0.9987	2.3	
12.00	0.9982	2.3	
12.05	0.9982	2.3	
12.10	0.9980	2.3	
12.15	0.9982	2.4	
12.20	0.9982	2.4	
12.25	0.9987	2.4	
12.30	0.9987	2.4	
12.35	0.9987	2.4	
12.40	0.9987	2.4	
12.45	0.9985	2.4	
12.50	0.9990	2.4	
12.55	0.9987	2.4	
12.60	0.9992	2.4	
12.65	0.9987	2.4	
12.70	0.9992	2.4	
12.75	0.9992	2.4	
12.80	0.9997	2.4	
12.85	0.9995	2.4	
12.90	0.9997	2.4	
12.95	0.9997	2.4	
13.00	1.0000	2.4	
13.05	1.0000	2.4	
13.10	1.0000	2.4	
13.15	1.0000	2.4	
13.20	0.9995	2.4	
13.25	0.9997	2.4	
13.30	0.9992	2.4	
13.35	1.0000	2.4	
13.40	0.9997	2.4	
13.45	1.0002	2.4	
13.50	1.0002	2.4	
13.55	1.0005	2.4	
13.60	1.0002	2.4	
13.65	1.0006	2.4	
13.70	1.0005	2.4	
13.75	1.0006	2.4	
13.80	1.0006	2.4	
13.85	1.0006	2.4	
13.90	1.0006	2.4	
13.95	1.0006	2.4	
14.00	1.0006	2.4	
14.05	1.0006	2.4	
14.10	1.0006	2.4	
14.15	1.0006	2.4	
14.20	1.0006	2.4	
14.25	1.0006	2.4	
14.30	1.0006	2.4	
14.35	1.0006	2.4	
14.40	1.0006	2.4	
14.45	1.0006	2.4	
14.50	1.0006	2.4	
14.55	1.0006	2.4	
14.60	1.0006	2.4	
14.65	1.0006	2.4	
14.70	1.0006	2.4	
14.75	1.0006	2.4	
14.80	1.0006	2.4	
14.85	1.0006	2.4	
14.90	1.0006	2.5	
14.95	1.0002	2.5	
15.00	1.0006	2.5	
15.05	1.0002	2.5	
15.10	1.0006	2.4	
15.15	1.0000	2.4	
15.20	1.0006	2.5	
15.25	1.0000	2.5	
15.30	1.0006	2.5	
15.35	1.0000	2.5	
15.40	1.0006	2.5	
15.45	1.0005	2.5	
15.50	1.0005	2.5	
15.55	1.0005	2.5	
15.60	1.0006	2.5	
15.65	1.0006	2.5	
15.70	1.0006	2.5	
15.75	1.0006	2.5	
15.80	1.0006	2.5	
15.85	1.0006	2.5	
15.90	1.0006	2.5	
15.95	1.0006	2.5	
16.00	1.0005	2.5	
16.05	1.0006	2.5	
16.10	1.0006	2.5	
16.15	1.0006	2.5	
16.20	1.0006	2.5	
16.25	1.0006	2.5	
16.30	1.0006	2.5	
16.35	1.0006	2.5	
16.40	1.0006	2.5	
16.45	1.0006	2.5	
16.50	1.0006	2.5	
16.55	1.0006	2.5	
16.60	1.0006	2.5	
16.65	1.0006	2.5	
16.70	1.0006	2.5	
16.75	1.0006	2.5	
16.80	1.0006	2.6	
16.85	1.0006	2.6	
16.90	1.0006	2.5	
16.95	1.0006	2.6	
17.00	1.0006	2.5	
17.05	1.0006	2.6	
17.10	1.0006	2.6	
17.15	1.0006	2.6	
17.20	1.0006	2.6	
17.25	1.0006	2.6	
17.30	1.0006	2.6	
17.35	1.0006	2.6	
17.40	1.0006	2.6	
17.45	1.0006	2.6	
17.50	1.0006	2.6	
17.55	1.0006	2.6	
17.60	1.0006	2.6	
17.65	1.0006	2.6	
17.70	1.0006	2.6	
17.75	1.0006	2.6	
17.80	1.0006	2.6	
17.85	1.0006	2.6	
17.90	1.0006	2.6	
17.95	1.0006	2.6	
18.00	1.0006	2.6	
18.05	1.0006	2.6	
18.10	1.0006	2.6	
18.15	1.0006	2.6	
18.20	1.0006	2.6	
18.25	1.0006	2.6	
18.30	1.0006	2.6	
18.35	1.0006	2.6	
18.40	1.0006	2.6	
18.45	1.0006	2.6	
18.50	1.0006	2.6	
18.55	1.0006	2.6	
18.60	1.0006	2.6	
18.65	1.0006	2.6	
18.70	1.0006	2.6	
18.75	1.0006	2.6	
18.80	1.0006	2.6	
18.85	1.0006	2.6	
18.90	1.0006	2.6	
18.95	1.0006	2.6	
19.00	1.0006	2.6	
19.05	1.0006	2.6	
19.10	1.0006	2.7	
19.15	1.0006	2.6	
19.20	1.0006	2.6	
19.25	1.0006	2.7	
19.30	1.0006	2.7	
19.35	1.0006	2.7	
19.40	1.0006	2.7	
19.45	1.0006	2.7	
19.50	1.0006	2.7	
19.55	1.0006	2.7	
19.60	0.9972	2.7	
19.65	0.9935	2.7	
19.70	0.9892	2.7	
19.75	0.9867	2.7	
19.80	0.9827	2.7	
19.85	0.9800	2.7	
19.90	0.9773	2.7	
19.95	0.9765	2.7	
20.00	0.9730	2.7	
20.05	0.9723	2.7	
20.10	0.9723	2.7	
20.15	0.9750	2.7	
20.20	0.9787	2.7	
20.25	0.9800	2.7	
20.30	0.9820	2.7	
20.35	0.9830	2.7	
20.40	0.9855	2.7	
20.45	0.9870	2.7	
20.50	0.9882	2.7	
20.55	0.9892	2.7	
20.60	0.9892	2.7	
20.65	0.9900	2.7	
20.70	0.9902	2.7	
20.75	0.9902	2.7	
20.80	0.9910	2.7	
20.85	0.9910	2.7	
20.90	0.9912	2.7	
20.95	0.9912	2.7	
21.00	0.9912	2.8	
21.05	0.9915	2.7	
21.10	0.9912	2.7	
21.15	0.9915	2.8	
21.20	0.9920	2.8	
21.25	0.9915	2.8	
21.30	0.9917	2.7	
21.35	0.9917	2.8	
21.40	0.9915	2.8	
21.45	0.9920	2.8	
21.50	0.9915	2.8	
21.55	0.9920	2.8	
21.60	0.9922	2.8	
21.65	0.9920	2.8	
21.70	0.9920	2.8	
21.75	0.9920	2.8	
21.80	0.9920	2.8	
21.85	0.9922	2.8	
21.90	0.9915	2.8	
21.95	0.9917	2.8	
22.00	0.9915	2.8	
22.05	0.9912	2.8	
22.10	0.9912	2.8	
22.15	0.9910	2.8	
22.20	0.9910	2.8	
22.25	0.9910	2.8	
22.30	0.9902	2.8	
22.35	0.9907	2.8	
22.40	0.9915	2.8	
22.45	0.9912	2.8	
22.50	0.9917	2.8	
22.55	0.9915	2.8	
22.60	0.9915	2.8	
22.65	0.9917	2.9	
22.70	0.9912	2.8	
