linenumber,datetime,athlete,distance,duration,gender,age_group,country,major
1,2020-01-01,1,70.33,394.2,M,35 - 54,Germany,BERLIN 2016
2,2020-01-01,2,14.65,79.06666666666666,M,35 - 54,United Kingdom,"LONDON 2018,LONDON 2019"
3,2020-01-01,3,41.41,195.66666666666663,M,18 - 34,United Kingdom,LONDON 2017
4,2020-01-01,4,41.34,209.1,M,35 - 54,United States,BOSTON 2017
6,2020-01-01,6,67.89,375.5333333333333,M,55 +,United States,BOSTON 2017
7,2020-01-01,7,0.0,0.0,M,35 - 54,Australia,CHICAGO 2012
8,2020-01-01,8,22.41,140.95,M,35 - 54,United Kingdom,LONDON 2019
9,2020-01-01,9,6.08,39.66666666666666,M,35 - 54,Germany,BERLIN 2016
10,2020-01-01,10,10.18,65.86666666666667,M,55 +,United Kingdom,LONDON 2017
11,2020-01-01,11,26.97,140.06666666666666,M,35 - 54,United Kingdom,"BERLIN 2015,BERLIN 2017"
12,2020-01-01,12,57.1,313.1166666666667,M,35 - 54,United Kingdom,LONDON 2019
13,2020-01-01,13,0.0,0.0,M,35 - 54,United Kingdom,LONDON 2019
14,2020-01-01,14,47.48,240.96666666666667,M,35 - 54,Spain,BERLIN 2019
15,2020-01-01,15,105.74,492.0,M,35 - 54,United States,"BOSTON 2017,BOSTON 2019"
16,2020-01-01,16,28.59,150.15,M,35 - 54,Canada,BOSTON 2017
17,2020-01-01,17,7.02,49.766666666666666,M,35 - 54,Colombia,BOSTON 2018
18,2020-01-01,18,80.1,491.05,M,35 - 54,Japan,TOKYO 2019
19,2020-01-01,20,22.72,134.95,M,35 - 54,Germany,BERLIN 2018
20,2020-01-01,21,70.60000000000001,632.25,M,18 - 34,Malaysia,TOKYO 2017
21,2020-01-01,22,51.74,288.2,M,18 - 34,Belarus,TOKYO 2019
22,2020-01-01,23,13.27,61.650000000000006,M,18 - 34,United States,NEW YORK 2017
23,2020-01-01,24,7.8,51.333333333333336,M,35 - 54,United States,CHICAGO 2014
24,2020-01-01,26,10.92,51.68333333333333,M,18 - 34,Switzerland,BERLIN 2017
25,2020-01-01,27,18.03,80.0,M,35 - 54,Italy,NEW YORK 2019
27,2020-01-01,29,0.0,0.0,M,18 - 34,Norway,"BERLIN 2017,LONDON 2019"
28,2020-01-01,30,10.04,65.0,M,55 +,Netherlands,BERLIN 2019
29,2020-01-01,31,32.89,171.0,M,35 - 54,United States,BOSTON 2013
